,Nombre,Ubicacion,Ciudad,Lat,Lon
0,El Faro,"Av del Mar 950, La Serena,",La Serena,-29.9089,-71.2743
1,Restorant Huentelauquén,"Av del Mar 4500, La Serena,",La Serena,-29.93317,-71.28141
2,Hotel de la Bahia,"Peñuelas Nte 56, Coquimbo",Coquimbo,-29.95402,-71.29977
3,UCN,"Larrondo 1281, Coquimbo",Coquimbo,-29.96485,-71.34769
4,Supermercado Acuenta,"Los Clarines 2201, Coquimbo",Coquimbo,-29.99193,-71.33044
5,Colegio Aleman,Av Cuatro Esquinas s/n La Serena,La Serena,-29.9345,-71.25608
6,Café del Cerro,"Av Guillermo Ulriksen 4082, La Serena",Coquimbo,-29.93503,-71.23893
7,Aeropuerto La Florida ,"Aeropuerto La Florida - Coquimbo, La Serena",Coquimbo,-29.92213,-71.20564
8,Pizzaría,"Monjitas Pte 3120, La Serena",La Serena,-29.87426,-71.24569
9,LightHouse Coffe,"Avenida del mar 2550, La Serena",La Serena,-29.91905,-71.27569
10,La Mia Pizza,"Av del Mar 2100, La Serena,",La Serena,-29.9156,-71.27494
11,RECOVA,"Brasil 715, La Serena",La Serena,-29.90083,-71.24833
12,Parque Japones,"Francisco de Aguirre 350, La Serena,",La Serena,-29.90548,-71.2522
13,Estadio la Portada,"Av. Estadio 1440, La Serena",La Serena,-29.94209,-71.26703
14,La Brújula Cowork,"Av. Juan Cisternas 1960, La Serena",La Serena,-29.92017,-71.24569
15,Burger Club,"Gabriela Mistral 3504, La Serena",La Serena,-29.93892,-71.2505
16,La Barra,"Pedro Aguirre Cerda 654 ,Coquimbo",Coquimbo,-29.96388,-71.3436
17,Cruz del Tercer Milenio,"Tte Merino 32 ,Coquimbo",Coquimbo,-29.95107,-71.34743
18,Humberto,"Raúl Torres Orellana 630 ,Coquimbo",Coquimbo,-29.99287,-71.33432
19,PizzaStop,"José Joaquín Pérez 3487 ,Coquimbo",Coquimbo,-29.96298,-71.30465
20,Mall Vivo Coquimbo,"Varela 1524 ,Coquimbo",Coquimbo,-29.9577,-71.33799
21,Outlet La Cantera,"La Cantera 2325 ,Coquimbo",Coquimbo,-29.97538,-71.29647
22,Colegio Saint Mary,"Avenida El Sauce 1049 ,Coquimbo",Coquimbo,-29.9878,-71.34183
23,Restaurant Viena,"Borgoño 412 ,Coquimbo",Coquimbo,-29.95477,-71.33891
24,Enjoy,"Peñuelas Nte 56 ,Coquimbo",Coquimbo,-29.95402,-71.29977
25,BlueMoon,"Sierra 501 ,Coquimbo",Coquimbo,-29.94855,-71.33893
26,La Polar,"Bilbao 444 ,Coquimbo",Coquimbo,-29.95394,-71.33886
27,Ciudad Capital,"Gabriel González Videla 1968 ,La Serena",La Serena,-29.91985,-71.24916
28,Rústico,"Los Perales 825 ,La Serena",La Serena,-29.93088,-71.25261
29,Colegio Kids World,"Guillermo Edwards 560 ,Coquimbo",Coquimbo,-29.96418,-71.34272
30,Estadio Francisco Sanchez Rumoroso,"Santiago Trigo ,Coquimbo",Coquimbo,-29.96549,-71.33722
31,Hospital San Juan de Dios,"Av. Balmaceda 916 ,La Serena",La Serena,-29.90885,-71.24996
32,Fuerte Lambert,"Camino Al Fuerte 20 ,Coquimbo",Coquimbo,-29.93634,-71.33603
33,Pinguino,"Benavente 1160, La serena",La Serena,-29.91119,-71.24683
34,Jumbo,"Av Guillermo Ulriksen 1630, La Serena",La Serena,-29.93503,-71.23893
35,Eso European Southern Observatorio ,"Av. Juan cisternas 2020, La serena ",La Serena,-29.92051,-71.24512
36,Planta de revisión técnica ,"Colo colo 4360, La serena ",La Serena,-29.91321,-71.21625
37,Colegio Cervantes,"Pje Veronica 1016, La serena",La Serena,-29.92305,-71.20767
38,Colegio Maria Educa,"Av. Las parcelas 1040, La serena",La Serena,-29.94898,-71.26512
39,Deco y Cortinas,"Lahuan 1701, La serena ",La Serena,-29.92005,-71.23204
40,La hacienda de San Joaquin,"Raúl Bitrán 2916, La serena ",La Serena,-29.92104,-71.22454
41,Catalina Novios,"Ambrosio Mansilla 1561, La serena ",La Serena,-29.92005,-71.23627
42,Concesionaria de automoviles ,"Valle del Choapa 1433, La serena",La Serena,-29.91676,-71.23572
43,Yutaka Sushi,"Oscar Saint - marie 1560, La serena",La Serena,-29.92179,-71.23718
44,Universidad de La serena,"Benavente 980, La serena",La Serena,-29.90915,-71.24684
45,Daitocar Respuestos,"Juan de Dios Peni 870, La serena",La Serena,-29.90772,-71.24573
46,Preuniversitario Pedro de Valdivia,"Miguel aguirre Pery 80, La serena",La Serena,-29.92206,-71.24817
47,Callegari usados balmaceda ,"Av. Balmaceda 3025, La serena",La Serena,-29.928,-71.25846
48,Papa Johns,"Av. Balmaceda 3039, La serena",La Serena,-29.92806,-71.25847